"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"578DDD7CE1771FFA","classic_bike","2024-11-07 19:21:58.206","2024-11-07 19:28:57.301","Walsh Park","18067","Leavitt St & North Ave","TA1308000005",41.91461,-87.667968,41.910533,-87.682308,"member"
"78B141C50102ABA6","classic_bike","2024-11-22 14:49:00.431","2024-11-22 14:56:15.475","Walsh Park","18067","Leavitt St & Armitage Ave","TA1309000029",41.91461,-87.667968,41.917805,-87.682437,"member"
"1E794CF36394E2D7","classic_bike","2024-11-08 09:24:00.238","2024-11-08 09:28:33.480","Walsh Park","18067","Damen Ave & Cortland St","13133",41.91461,-87.667968,41.915983,-87.677335,"member"
"E5DD2CAB58D73F98","classic_bike","2024-11-24 17:51:14.144","2024-11-24 18:05:32.574","Clark St & Elm St","TA1307000039","Clark St & Drummond Pl","TA1307000142",41.902973,-87.63128,41.931248,-87.644336,"member"
"57F9878BC8C765F1","classic_bike","2024-11-04 14:59:16.032","2024-11-04 15:41:02.456","Clark St & Wellington Ave","TA1307000136","Streeter Dr & Grand Ave","13022",41.9364968219,-87.6475386582,41.892278,-87.612043,"casual"
"631261306B4ADFBF","classic_bike","2024-11-03 11:24:46.959","2024-11-03 11:32:38.470","Ogden Ave & Congress Pkwy","13081","Aberdeen St & Jackson Blvd","13157",41.87501,-87.67328,41.87772613,-87.65478743,"member"
"E2FE8185C8049E92","electric_bike","2024-11-13 19:49:43.930","2024-11-13 20:00:45.170","Wabash Ave & 9th St","TA1309000010","Aberdeen St & Jackson Blvd","13157",41.870769,-87.625734,41.87772613,-87.65478743,"member"
"D6202DA89BEBEF10","classic_bike","2024-11-04 17:04:14.802","2024-11-04 17:07:10.505","Sheffield Ave & Wellington Ave","TA1307000052","Clark St & Wellington Ave","TA1307000136",41.9362534831413,-87.65266209840775,41.9364968219,-87.6475386582,"member"
"FBD83C6776EB4EAE","electric_bike","2024-11-18 17:20:38.129","2024-11-18 17:25:23.760","Clark St & Elm St","TA1307000039","Clark St & Armitage Ave","13146",41.902973,-87.63128,41.918306,-87.636282,"member"
"983509C7904EDFF4","classic_bike","2024-11-01 19:14:52.979","2024-11-01 19:43:23.323","Aberdeen St & Jackson Blvd","13157","Desplaines St & Kinzie St","TA1306000003",41.87772613,-87.65478743,41.888716036,-87.6444478533,"member"
