"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"BAA154388A869E64","classic_bike","2024-08-02 13:35:14.403","2024-08-02 13:48:24.426","State St & Randolph St","TA1305000029","Wabash Ave & 9th St","TA1309000010",41.88462107257936,-87.62783423066139,41.870769,-87.625734,"member"
"8752245932EFF67A","electric_bike","2024-08-02 15:33:13.965","2024-08-02 15:55:23.865","Franklin St & Monroe St","TA1309000007","Damen Ave & Cortland St","13133",41.880317,-87.635185,41.915983,-87.677335,"member"
"44DDF9F57A9A161F","classic_bike","2024-08-16 15:44:06.233","2024-08-16 15:57:52.109","Franklin St & Monroe St","TA1309000007","Clark St & Elm St","TA1307000039",41.880317,-87.635185,41.902973,-87.63128,"member"
"44AAAF069B0C78C3","electric_bike","2024-08-19 18:47:11.855","2024-08-19 18:56:33.269","Clark St & Elm St","TA1307000039","McClurg Ct & Ohio St","TA1306000029",41.902973,-87.63128,41.892592119709725,-87.61728912591934,"member"
"77138D500A6B7B4B","classic_bike","2024-08-03 20:34:20.560","2024-08-03 20:46:29.305","Western Ave & Leland Ave","TA1307000140","Ashland Ave & Belle Plaine Ave","13249",41.966399801840986,-87.68870428204536,41.956057,-87.668835,"casual"
"F6F581F31A9C9BC2","electric_bike","2024-08-03 20:08:09.067","2024-08-03 20:44:53.847","Clark St & Elm St","TA1307000039","Stetson Ave & South Water St","TA1308000029",41.902973,-87.63128,41.886835,-87.62232,"casual"
"604663B88BC6DB8A","classic_bike","2024-08-28 17:08:13.321","2024-08-28 17:34:06.920","Michigan Ave & Jackson Blvd","TA1309000002","Larrabee St & Webster Ave","13193",41.8777679,-87.624164,41.921822,-87.64414,"member"
"26021CDC5238475E","electric_bike","2024-08-20 16:04:33.878","2024-08-20 16:08:27.652","Franklin St & Monroe St","TA1309000007","Kingsbury St & Kinzie St","KA1503000043",41.880317,-87.635185,41.88917683258,-87.6385057718,"member"
"0512319767100E18","electric_bike","2024-08-06 11:28:36.317","2024-08-06 11:30:37.909","Franklin St & Monroe St","TA1309000007",,,41.880317,-87.635185,41.88,-87.64,"member"
"157E93813FE5D732","electric_bike","2024-08-06 14:06:01.282","2024-08-06 14:10:33.843","Franklin St & Monroe St","TA1309000007",,,41.880317,-87.635185,41.89,-87.63,"member"
"39E8AB05D21377E0","electric_bike","2024-08-15 13:56:39.715","2024-08-15 13:59:31.905","Kilbourn Ave & Diversey Ave","24323",,,41.93179,-87.73934,41.93,-87.75,"member"
